original_publisher	modified_publisher
Levin & Munksgaard	Levin & Munksgård
Levin & Mungsgaard	Levin & Munksgård
levin & Munksgaard	Levin & Munksgård
Niermeyer	Niemeyer
Sigurdson	Sigurdsson
Södermanlands läns tidning:	Södermanlands läns tidning
Södermanlands läns tidnings	Södermanlands läns tidning
Södermanlands läns tidnings tryck	Södermanlands läns tidning
Värmlands folkblad	Värmlands Folkblad
K. Gustafson	K. Gustafsson
Svenska , Norstedt	Svenska /Norstedt
Svenska , Norstedts	Svenska /Norstedt
Svenska / Norstedt	Svenska /Norstedt
Svenska /Norstedts	Svenska /Norstedt
Svenska /Norstedtt	Svenska /Norstedt
Svenssons	Svensson
Varias	Varia
Evangeliska fost.-stift:sexp	Evangeliska fost.-stiftelse
Evangeliska foststiftelse	Evangeliska fost.-stiftelse
Falu-kuriren	Falu-Kuriren
Falu kuriren	Falu-Kuriren
Falukuriren	Falu-Kuriren
Falukurirens	Falu-Kuriren
Scandinavia	Skandinavia
Skandianvia	Skandinavia
Skandinaviska	Skandinavia
Svenska natur	Svensk natur
Handels	Handelstr
Jordbrukstekniska inst	Jordbrukstekniska institutet
Svensk facklitteratur	Svenska litteratur
Svenska litteraturkomm	Svenska litteratur
Teatern	Teater
Bagges	Bagge
Borås tidnings	Borås tidning
- Dahlberg & Co	Dahlberg & Co
-. Dahlberg & Co	Dahlberg & Co
Trots allt	Trots allt!
Trots allt!:	Trots allt!
Bjursströms	Bjurström
Grundels	Grundel
H. Petterson	H. Pettersson
Lantförsvarets kommandoexp:	Lantförsvarets kommandoexp
Lantförsvarets kommandoexp:s	Lantförsvarets kommandoexp
Lantförsvarets kommandoexpedition	Lantförsvarets kommandoexp
Lantförsvarets kommandoexpeditions	Lantförsvarets kommandoexp
Lantförsvarets kommandoxp	Lantförsvarets kommandoexp
Norli	Norlin
Södertörn-	Södertörn
Södertörns	Södertörn
Westgöta-posten	Westgöta-Posten
Westgötaposten	Westgöta-Posten
Z. Hæggströmsexp	Z. Häggströmsexp
Hæggströmsexp	Z. Häggströmsexp
