original	pagecount	volnumber	volcount	Count
2 vol.;(388 : 374 s.)	NA	NA	NA	   1
643 s.	 643	NA	NA	   1
116, [1] s.	 117	NA	NA	   1
[16] s. =(s. 13/14, 15/16 blanka).=	NA	NA	NA	   1
32 s., 4 pl.-bl.	  32	NA	NA	   1
108 p.	 108	NA	NA	   1
214p.,ill.,22cm	 214	NA	NA	   1
136 s.; [1] pl. & omsl.	 136	NA	NA	   1
1724 s.	1724	NA	NA	   1
[02] , 442, 384 s. =(s. 433-42 opag.)=.	 444	NA	NA	   1
121, (1) s.	 121	NA	NA	   1
53 s., 1 pl.-bl.	  53	NA	NA	   1
154, [2] s.	 156	NA	NA	   1
S. 553-590, (3)s	 590	NA	NA	   1
1 vol. (95, [1] s.)	  96	NA	NA	   1
ca 400 s.	 400	NA	NA	   1
2 st.	NA	NA	NA	   1
[4], iv, 362, v, [1] s.	 372	NA	NA	   1
120 s., iv pl.-bl.	 120	NA	NA	   1
331 s.,8 pl.-bl.	 331	NA	NA	   1
46,(1)s.,27 pl.-bl.	  46	NA	NA	   1
[04] , ii174, iii72 s.	   4	NA	NA	   1
xxxi, [1], 421 s.	 453	NA	NA	   1
98s.,2 pl.-bl.	  98	NA	NA	   1
[16], 384 s., s. 389-420 =(s. 420 felpag. '402')=	 436	NA	NA	   1
321, [1] s., 10 pl.-bl.	 322	NA	NA	   1
29 s., 49 pl-s.	  29	NA	NA	   1
v, 308 s.	 313	NA	NA	   1
123 s., 2 utv.-kartor	 123	NA	NA	   1
239, [2] s.	 241	NA	NA	   1
170 s	 170	NA	NA	   1
cii; 231 s.	 333	NA	NA	   1
28 s. (s. 28 blank)	NA	NA	NA	   1
46 s., 82] tab.-bl.	  46	NA	NA	   1
388 s., 18 pl.bl.	 392	NA	NA	   1
S. 159-205	  47	NA	NA	   1
289s.,10 pl.	 309	NA	NA	   1
[02] , 74 s.; [2] , 7 pl.	  92	NA	NA	   1
[4], 202 s.	 206	NA	NA	   1
96 s. & omsl.	  96	NA	NA	   1
[4], 5-479, [1] s.	 480	NA	NA	   1
223 s., [12] pl.-bl.	 223	NA	NA	   1
(2),151,(1)s	 151	NA	NA	   1
24 s., 1 bl. (lösbl.)	  26	NA	NA	   1
195s	 195	NA	NA	   1
293, [2] s.	 295	NA	NA	   1
30,(1)s	  30	NA	NA	   1
72s.,9 pl.-bl.	  72	NA	NA	   1
S. 32-54	  23	NA	NA	   1
S. 25-48.	  24	NA	NA	   1
[04] , ii84, [iii02] , iv98 s.	   4	NA	NA	   1
35 s., 7 pl.	  49	NA	NA	   1
[4], 135, [1] s.	 140	NA	NA	   1
24 s. =(s. 23-24 opag., 24 prisuppg.)=.	NA	NA	NA	   1
3 vol.;(336 ; 306 ; 338 s.)	 980	NA	NA	   1
[16], 134 s., s. 155-188 =(s. 187-88 opag.)=	 204	NA	NA	   1
xiv, 375 s.	 389	NA	NA	   1
(2) 3-214 (2) s.	NA	NA	NA	   1
13,(2)s	  13	NA	NA	   1
xxiii, 566 s.	 589	NA	NA	   1
[08], 110 s. =(s. 103-10 opag.).=	   8	NA	NA	   1
[02] s., s. 125-262	 140	NA	NA	   1
[06] , 672 s.	 678	NA	NA	   1
[20] , ii384 s. =(s. 379-384 opag.)=.; [2] pl.	  24	NA	NA	   1
[6], s. 81-159, [2] s.	  87	NA	NA	   1
[10] s. + 16 lösa pl.-bl. i mapp	NA	NA	NA	   1
221 s., [4] pl.-bl.	 221	NA	NA	   1
2 vol. (293 ; [4] s., s. 301-536)	 533	NA	NA	   1
2 vol.;(476; 544 s.)	1020	NA	NA	   1
378 s	 378	NA	NA	   1
(8) 1-359 (1) s.	NA	NA	NA	   1
(14) 1-145 (26) 147-226 (8) s.	NA	NA	NA	   1
ij, 164 s., 2 kartor	 170	NA	NA	   1
32 s., 2 pl.-bl.	  32	NA	NA	   1
(3),52s +	  52	NA	NA	   1
(2),108 bl.	 218	NA	NA	   1
vi,(2),107s.,4 bil.,6 pl.-bl.	 113	NA	NA	   1
100,(2)s.,4 pl.-bl.	 100	NA	NA	   1
[12], ii548 s. (s. 533-548 opag.)	  12	NA	NA	   1
(8)s +	   8	NA	NA	   1
96 s., 1 karta	  98	NA	NA	   1
284s	 284	NA	NA	   1
4 s. (1944:1), ca 50-70 s. (1944:2-1948), ca 12-70 s. (1949-1957)	1957	NA	NA	   1
271, [2] s.	 273	NA	NA	   1
[4], 296 s.	 300	NA	NA	   1
615, [1] s., 2 kartbl.	 620	NA	NA	   1
viii, 256 s.	 264	NA	NA	   1
(:) A4-D4.	NA	NA	NA	   1
[6] s., s. 2-35, [1] s.	  41	NA	NA	   1
20, [59]s.	  79	NA	NA	   1
598, xxx s.	 628	NA	NA	   1
2! xii, 13-76, 2!,77-108p.,ill.,28cm	 108	NA	NA	   1
viii, 304 s.	 312	NA	NA	   1
30 blad	  60	NA	NA	   1
(2),54s	  54	NA	NA	   1
50, [2] s.	  52	NA	NA	   1
144 s., [16] pl.-s.	 144	NA	NA	   1
[16], [1] 2-372, [4] s.	 392	NA	NA	   1
[08] , 200 s.	 208	NA	NA	   1
[48] pl.-s.	NA	NA	NA	   1
252 s., 4 pl.-bl.	 252	NA	NA	   1
xx, 167 p.	 187	NA	NA	   1
S.559-580	  22	NA	NA	   1
568, ii32 s.	 568	NA	NA	   1
35,(1)s.,7 pl.-bl.	  35	NA	NA	   1
77, [3] s.	  80	NA	NA	   1
37,(3)s	  37	NA	NA	   1
[9], 2-216 s., 2 planschblad	 224	NA	NA	   1
538 s.	 538	NA	NA	   1
13, [1] s.	  14	NA	NA	   1
80 s., 1 vikt kartbl.	  80	NA	NA	   1
559 s.	 559	NA	NA	   1
iv, 71 s.	  75	NA	NA	   1
219, (3) s.	 219	NA	NA	   1
8 s., 3 tab	  14	NA	NA	   1
[4], 45 s.	  49	NA	NA	   1
[61] s.	  61	NA	NA	   1
295, [1] s., 11 pl.-bl. (i färg), 1 karta	 298	NA	NA	   1
[1], 152, [4] s.	 157	NA	NA	   1
viij, 92 s.	 100	NA	NA	   1
537, [1] s., 2 kartbl.	 542	NA	NA	   1
[08] , ii594, [iii06] , iv96 s. =(s. 567-594 opag., iv95-96 opag. bokbindaranvisning)=; pl.titelbl., [7] , xvii pl.	  51	NA	NA	   1
444 s.	 444	NA	NA	   1
335, [1] s.	 336	NA	NA	   1
34, [2] s.	  36	NA	NA	   1
501, [2] s.	 503	NA	NA	   1
80s +	  80	NA	NA	   1
104 s. o. +	NA	NA	NA	   1
[02] , 132 s.	 134	NA	NA	   1
616 s.	 616	NA	NA	   1
248, [1] s.	 249	NA	NA	   1
322, [2] s.	 324	NA	NA	   1
[2], 231, [1] s., 1 pl.-bl.	 234	NA	NA	   1
[8] s. + 13 disputationer, samtliga m. tit.-bl.	NA	NA	NA	   1
[4], 99, [1] s.	 104	NA	NA	   1
52, [4] s.	  56	NA	NA	   1
314s	 314	NA	NA	   1
246, (1) s.	 246	NA	NA	   1
[02], 114 s. & omsl.	 116	NA	NA	   1
S. 29-36	   8	NA	NA	   1
248, [3] s.	 251	NA	NA	   1
s.221-268,11 pl.-bl.	  48	NA	NA	   1
68, [2] s.	  70	NA	NA	   1
200, [1] s.	 201	NA	NA	   1
(3),46,(1) bl.	  48	NA	NA	   1
(2), 38 s.	  38	NA	NA	   1
S. 641-654	  14	NA	NA	   1
[156] s. (A12-F12G6.)	 156	NA	NA	   1
48, (1) s.	  48	NA	NA	   1
88, [2] s.	  90	NA	NA	   1
174, lxv s. +	 239	NA	NA	   1
vj och 360 s.	NA	NA	NA	   1
24 s. (s. 23- 24 opag. annons)	NA	NA	NA	   1
[20] pl.-s., 151 s.	 151	NA	NA	   1
xxiv, 455 s.	 479	NA	NA	   1
S. 1-2, [2] s., s. 3-333, [1] s.	 336	NA	NA	   1
ix, 149 s.	 158	NA	NA	   1
(5),113s	 113	NA	NA	   1
98 s., 16 pl.s.	  98	NA	NA	   1
156, (1) s.	 156	NA	NA	   1
=Serietitelbl.:= [04] s. & omsl. [02] , 436 s.	 438	NA	NA	   1
3 vol.;(699 ; 653 ; 628, xi s.)	1991	NA	NA	   1
135 s.;(135,(1)s)	 270	NA	NA	   1
[04] , 34 s.	  38	NA	NA	   1
56 s., 4 pl.	  64	NA	NA	   1
310 s., 16 pl.-bl.	 310	NA	NA	   1
194, [1] s.	 195	NA	NA	   1
121, [1] s.	 122	NA	NA	   1
[04] , 196 s.	 200	NA	NA	   1
196, [1] s.	 197	NA	NA	   1
389 s.	 389	NA	NA	   1
[6], 249 s., 2 bl.	 259	NA	NA	   1
176 s	 176	NA	NA	   1
313 s	 313	NA	NA	   1
viii, 88 s.	  96	NA	NA	   1
xvi, 208 s.	 224	NA	NA	   1
(2), 240 s.	 240	NA	NA	   1
384 s. =(s. 377-84 opag.)=; x pl., [3] klistrade vinj.	NA	NA	NA	   1
s.3-78	  76	NA	NA	   1
186,[1] s.	 187	NA	NA	   1
232 s. & omsl.	 232	NA	NA	   1
112 s. och 2 pl.	NA	NA	NA	   1
[31] , 113 s. =(s. 95-113 opag.)=.	  31	NA	NA	   1
[8], 293 s.	 301	NA	NA	   1
48 s., [4] pl.-bl.	  48	NA	NA	   1
103, cii s.	 205	NA	NA	   1
(2), 271 s., 1 pl.	 273	NA	NA	   1
24 s. =(s. 17-24 opag.).=	NA	NA	NA	   1
[24], 242 s.	 266	NA	NA	   1
240,(2)s	 240	NA	NA	   1
A2B.	NA	NA	NA	   1
3 vol.;(102; 97; 103 s.)	 302	NA	NA	   1
S. 42-68	  27	NA	NA	   1
[4], 412 s. och 1 portr.	   4	NA	NA	   1
2 vol.;((7), 216 s., (7), 178 s.)	 216	NA	NA	   1
[8], 55, [1]s.	  64	NA	NA	   1
16 s., [1] pl.-bl.	  16	NA	NA	   1
359,(1)s	 359	NA	NA	   1
68,(1)s	  68	NA	NA	   1
[4], 318 s.	 322	NA	NA	   1
[04] , ii376 s.; [10] ins., pl. xxix-xxxvi.	  14	NA	NA	   1
134 s. ; 127 s. ; 137 s. ; 75 s. ; 134 s.	 607	NA	NA	   1
114, [2] s.	 116	NA	NA	   1
299, [2] s.	 301	NA	NA	   1
332,(2)s	 332	NA	NA	   1
423s	 423	NA	NA	   1
546 s.	 546	NA	NA	   1
192 s. =(s. 191/92 blank).=	NA	NA	NA	   1
71, [5] s.	  76	NA	NA	   1
390 s., 12 pl.-bl.	 390	NA	NA	   1
223,(1)s	 223	NA	NA	   1
[12] s. =(s. 11/12 blank).=	NA	NA	NA	   1
[2], 189 s.	 191	NA	NA	   1
(34)s	  34	NA	NA	   1
[08] , 16 s. =(s. 15/16 blank).=	   8	NA	NA	   1
viii+, 295, [1] s.	 304	NA	NA	   1
[04] , 32 s. =(s. 31/32 blank).=	   4	NA	NA	   1
39 s., 4 pl.	  47	NA	NA	   1
239s	 239	NA	NA	   1
120 s., 2 kartor	 124	NA	NA	   1
16 s., 1 pl.	  18	NA	NA	   1
32,(3)s	  32	NA	NA	   1
[08] , 112 s. =(s. 107/108, 109/110, 111/112 blanka).=	   8	NA	NA	   1
174,(1)s.,15 pl.-bl.	 174	NA	NA	   1
296, [3] s.	 299	NA	NA	   1
110,(1)s	 110	NA	NA	   1
37,(1)s	  37	NA	NA	   1
[04], 292 s. (s. 255-92 opag., 287-92 rättelser o. annons)	 291	NA	NA	   1
s.349-356,1 portr.	  10	NA	NA	   1
02 s.	   2	NA	NA	   1
[16] , 24 s.	  40	NA	NA	   1
(2),14,(2)s	  14	NA	NA	   1
[4] s., s. 611-749	 143	NA	NA	   1
16 och 24 s.	  40	NA	NA	   1
[4], vii, [3], 165, [3] s.	 182	NA	NA	   1
[04], 156 s.	 160	NA	NA	   1
191 s., [7] pl.-bl.	 191	NA	NA	   1
[28] s.; [1] ins.	  28	NA	NA	   1
62,(17)s	  62	NA	NA	   1
[16], 416 s.	 432	NA	NA	   1
vi s., s. 7-78	  78	NA	NA	   1
(113)s	 113	NA	NA	   1
(112) s.	 112	NA	NA	   1
82, [3] s.	  85	NA	NA	   1
107,(1)s	 107	NA	NA	   1
288 s. +	 288	NA	NA	   1
72,(3)s.,29 pl.-bl.	  72	NA	NA	   1
16, ii328 s. =(s. 15-16 opag.)=.	  16	NA	NA	   1
231s	 231	NA	NA	   1
iv, 301 s.	 305	NA	NA	   1
54 s., vikt karta	  54	NA	NA	   1
(2),16,(1)s	  16	NA	NA	   1
42 s., 1 pl.-bl.	  42	NA	NA	   1
32,(1)s.,2 pl.-bl.	  32	NA	NA	   1
578 s., 18 pl.	 614	NA	NA	   1
[14] , 632 s. =(s. 619-32 opag., 631-32 annons)=; [1] pl.	 647	NA	NA	   1
(4), 449 s.	 449	NA	NA	   1
xiij, [2], 116 s.	 131	NA	NA	   1
S.584-599	  16	NA	NA	   1
51, [1] s., [1] vikt pl.-bl.	  52	NA	NA	   1
58,(1)s	  58	NA	NA	   1
[04] , 72 s.	  76	NA	NA	   1
179 [1] s.	NA	NA	NA	   1
24	  24	NA	NA	   1
28 s. =(s. 27-28 opag.).=	NA	NA	NA	   1
29s.,4 pl.-bl.	  29	NA	NA	   1
83, [57] s. (inkl. ann.)	 140	NA	NA	   1
240,(1)s.,5 pl.-bl.	 240	NA	NA	   1
08 s. =(s. 7/8 blank)=.	NA	NA	NA	   1
212, [1] s.	 213	NA	NA	   1
268, [1] s.	 269	NA	NA	   1
[4], 90, [4] s.	  98	NA	NA	   1
457 s.	 457	NA	NA	   1
702 s.	 702	NA	NA	   1
(5),116s.,1 tab.	 118	NA	NA	   1
248, 4 s.	 248	NA	NA	   1
66,(1)s	  66	NA	NA	   1
(4),80,(1)s	  80	NA	NA	   1
216, [4] s.	 220	NA	NA	   1
299 p.	 299	NA	NA	   1
600s	 600	NA	NA	   1
1234, [1] s.	1235	NA	NA	   1
203, [2] s	 205	NA	NA	   1
8:o. 322 s.	NA	NA	NA	   1
[4], 236 s.	 240	NA	NA	   1
244, [1] s.	 245	NA	NA	   1
26 s. =(s. 20-26 opag.)=.	NA	NA	NA	   1
159 p.	 159	NA	NA	   1
[02] , 78 s.	  80	NA	NA	   1
24s.,2 kart	  24	NA	NA	   1
[12] , 420 s.	 432	NA	NA	   1
ix, 208 s., [1] pl.-s., [4] vikta pl.-bl.	 217	NA	NA	   1
A8-D8.	NA	NA	NA	   1
70 s., 1 vikt kartbl.	  70	NA	NA	   1
14 s., 1 portr.	  16	NA	NA	   1
56s.,1 kartbl.	  58	NA	NA	   1
318 s., [8] kartbl. (i färg)	 318	NA	NA	   1
[2], 18 s., [1] pl.-bl.	  20	NA	NA	   1
129s.,7 pl.	 143	NA	NA	   1
(13) 2-549 (alt. 551) s.	NA	NA	NA	   1
[02] , ii776 s. =(s. 761-776 opag. prenumerantförteckn.)=.	   2	NA	NA	   1
205 s.;(206, [1] s.)	 412	NA	NA	   1
239,(1)s	 239	NA	NA	   1
[28] s. =(s. 27/28 blank)=, [8] pl.-bl.	NA	NA	NA	   1
[04] , 64 s.	  68	NA	NA	   1
34 s.,1 kartbl.	  36	NA	NA	   1
74, [1] s.	  75	NA	NA	   1
39, (2) s.	  39	NA	NA	   1
56 s. =(s. 55/56 blank)= & omsl.	NA	NA	NA	   1
5 bd i 7 vol. (695, 598, 407, 483, 316, 584, 370 s.)	 695	NA	NA	   1
xvi, 290 s.	 306	NA	NA	   1
3 vol. (vi, [1], 108 ; viii, [3], 234, [1] ; [5], 364, [1] s.)	 731	NA	NA	   1
91,(1)s.,56 pl.-bl.	  91	NA	NA	   1
27s +	  27	NA	NA	   1
6, (2) s., ii pl.-bl.	   6	NA	NA	   1
2 vol.;(228, [1] ; 245, [2] s.)	 476	NA	NA	   1
286,[2] s.	 288	NA	NA	   1
[40] , ii1080 s. =(s. 39/40 blank).	  40	NA	NA	   1
[2], 229, [3] s.	 234	NA	NA	   1
1-54 s.	  54	NA	NA	   1
[2], 103, [1] s.	 106	NA	NA	   1
12 vol.	NA	NA	12	   1
192, (1) s., 5 pl.	 202	NA	NA	   1
2 vol.;(358 s.; 156 s.)	 514	NA	NA	   1
S. 317-372	  56	NA	NA	   1
29 s., 1 vikt pl.-bl.	  29	NA	NA	   1
39 s., viii pl.-bl.	  39	NA	NA	   1
[7], 365 s., 3 pl.-bl.	 372	NA	NA	   1
12 pl.	  24	NA	NA	   1
[2], 180 s.	 182	NA	NA	   1
368 s., [8] pl.	 384	NA	NA	   1
63,(1) s.	  63	NA	NA	   1
695 s.	 695	NA	NA	   1
[12], 72 s. =(s. 71/72 blank).=	  12	NA	NA	   1
64, 64 s.	  64	NA	NA	   1
viij, 189 s., 4 tab.	 205	NA	NA	   1
112 s., 4 pl.-bl.	 112	NA	NA	   1
75, [2] s.	  77	NA	NA	   1
157 s. och 1 pl.	NA	NA	NA	   1
S. 60-66, [1] vikt pl.-bl.	   7	NA	NA	   1
[8], 247 s.	 255	NA	NA	   1
16,(3)s	  16	NA	NA	   1
113s	 113	NA	NA	   1
[5], 112, [1] s.	 118	NA	NA	   1
XII, 381 s.	 393	NA	NA	   1
xiij, 120 s., 1 portr.	 135	NA	NA	   1
101 s., 1 pl.-bl.	 101	NA	NA	   1
315s	 315	NA	NA	   1
14 s., [2] pl.-bl., 1 kartbl.	  16	NA	NA	   1
[36], 884 s.; [2] inklistr. vinj.	 920	NA	NA	   1
509 s.	 509	NA	NA	   1
76 s. =(s. 74-76 opag.)=.	NA	NA	NA	   1
43, [2] s.	  45	NA	NA	   1
[5], 6-63, 1bl. s.	  63	NA	NA	   1
vj, 199 s.	 199	NA	NA	   1
52, [3] s.	  55	NA	NA	   1
254,(1)s	 254	NA	NA	   1
28 s. =(s. 27-28 opag.)=.	NA	NA	NA	   1
293,[2] s.	 295	NA	NA	   1
180s.,24 pl.-bl.	 180	NA	NA	   1
154,(1)s	 154	NA	NA	   1
[04] , 32 s, =(s. 31-32 opag.)=.	  36	NA	NA	   1
[13], 2-111, [1] ; [3], 2-274 ; [2], 1-36 ; [2], 1-15, [1] ; [2], 1-33, [1] ; [2], 1-50 s.	 544	NA	NA	   1
[4], 207 s.	 211	NA	NA	   1
[06], 784 s. =(s. 763-84 opag.)=	   6	NA	NA	   1
126,(2)s.,12 pl.-bl.	 126	NA	NA	   1
[2], 77, [1] s.	  80	NA	NA	   1
145, [1] s.	 146	NA	NA	   1
188,(2)s	 188	NA	NA	   1
98 s., 8 pl.bl.	 102	NA	NA	   1
[3], 65, [2] s.	  70	NA	NA	   1
s. 195-242	  48	NA	NA	   1
293 s., 1 vikt bl.	 293	NA	NA	   1
S. [233]-243	  11	NA	NA	   1
63 s., s. 62-110.	 110	NA	NA	   1
(3) bl. A4-N4O.	   6	NA	NA	   1
75, (2) s.	  75	NA	NA	   1
(3),83 bl.	 169	NA	NA	   1
320 s. +	 320	NA	NA	   1
221 s., s. 223-257.	 257	NA	NA	   1
(4), 74 s.	  74	NA	NA	   1
[2], ii, 160 s. (s. 159 rättelser)	   4	NA	NA	   1
vj, 257 s.	 257	NA	NA	   1
217,(1)s	 217	NA	NA	   1
188 s., 2 pl.-bl.	 188	NA	NA	   1
79s.,8 pl.-bl.	  79	NA	NA	   1
[7], 72 s.	  79	NA	NA	   1
[02] , 166 s. =(s. 137-66 opag.)=; [6] pl.	  14	NA	NA	   1
[06] , ii144 s.	   6	NA	NA	   1
12 pl. i omsl.	   2	NA	NA	   1
[08] , 152 s. =(s. 134-52 opag., 136-52 annons)=.	 144	NA	NA	   1
296,(2)s	 296	NA	NA	   1
23, 16, 16 s.	  23	NA	NA	   1
279	 279	NA	NA	   1
[2], xiv, [2], s. 13-315, 1 not-bl.	 321	NA	NA	   1
214, [1] s., 3 pl.-bl.	 215	NA	NA	   1
xxxv, 698 s.	 733	NA	NA	   1
xii, 232 s.	 244	NA	NA	   1
[4] s., s. 5-10	  10	NA	NA	   1
77, [1] s.	  78	NA	NA	   1
[08], 90, [4], 256 s.	 268	NA	NA	   1
171 s., 24 pl.-bl., 2 kartor	 175	NA	NA	   1
56 s	  56	NA	NA	   1
(4)s.,s.241-343,23-30	 343	NA	NA	   1
45s.,12 pl.-bl.	  45	NA	NA	   1
117 s., 10 pl. (med tillhörande textblad)	 117	NA	NA	   1
460 s., 16 pl.-s.	 460	NA	NA	   1
viii, 164 s.	 172	NA	NA	   1
253, [2] s.	 255	NA	NA	   1
[40] , ii472 s.	  40	NA	NA	   1
42 s. (s.38-42 opag.)	NA	NA	NA	   1
44,(4)s	  44	NA	NA	   1
[8], 62 s.	  70	NA	NA	   1
147,[1] s.	 148	NA	NA	   1
xx, 848 s.	 868	NA	NA	   1
[2], viij, 176, 5 s.	 186	NA	NA	   1
322 s.; [1] ins.	 322	NA	NA	   1
16 s.; [1] pl.	  18	NA	NA	   1
56 s.,1 kartbl.	  58	NA	NA	   1
Ca 100 s., ca 200 pl.-bl.	 100	NA	NA	   1
[12] , 176 s.	 188	NA	NA	   1
[4], 171, [2] s.	 177	NA	NA	   1
97, [2] s., 1 vikt tab.-bl.	  99	NA	NA	   1
xix, 816 s.	 835	NA	NA	   1
84 s., 3 bl.	  90	NA	NA	   1
57 s., 1 karta	  59	NA	NA	   1
250, [1] s., 8 pl.bl.	 255	NA	NA	   1
254, (1) s., 17 pl.-bl.	 254	NA	NA	   1
621 s., 2 pl.-bl.	 621	NA	NA	   1
(8), 191, xxxj s., 4 pl.	 230	NA	NA	   1
S. 378-393	  16	NA	NA	   1
iv,316s	 320	NA	NA	   1
128s.,3 bil.	 128	NA	NA	   1
252, [1] s., 8 pl.-bl.	 253	NA	NA	   1
103, [1] s., 1 portr.	 106	NA	NA	   1
252, [3] s.	 255	NA	NA	   1
[30] s.	  30	NA	NA	   1
217,[2] s.	 219	NA	NA	   1
114s	 114	NA	NA	   1
xliv, 268 s., [1] vikt pl.-bl. (kopparstick)	 312	NA	NA	   1
[2], xxxiv, 307 s.	 343	NA	NA	   1
iij,56s	  59	NA	NA	   1
225,(1)s	 225	NA	NA	   1
467 s. +	 467	NA	NA	   1
205 s.,2 pl.-bl.	 205	NA	NA	   1
3 st.	NA	NA	NA	   1
[04], 172 s.; [1] rättelsebl.	 176	NA	NA	   1
312, [2] s.	 314	NA	NA	   1
[02], 204 s.; [02] s. =(annons)=	 206	NA	NA	   1
[2], 273 s.	 275	NA	NA	   1
575 s.	 575	NA	NA	   1
157 [1] s.	NA	NA	NA	   1
374 s., x s.	 384	NA	NA	   1
26,(6) s.	  26	NA	NA	   1
210s., 28 pl.-bl., 2 bil., 1 karta	 212	NA	NA	   1
432 s.	 432	NA	NA	   1
64 s. (1934-1955), 82 s. (1956-1963)	1963	NA	NA	   1
(1) 2-77 (3) s.	NA	NA	NA	   1
367 s., 32 pl.-s.	 367	NA	NA	   1
160, 51 s.	 160	NA	NA	   1
400, 303 s.	 400	NA	NA	   1
xi1, 499 s.	 499	NA	NA	   1
191,(1)s.,2 pl.-bl.	 191	NA	NA	   1
136, [4], 288, 26 s.	 292	NA	NA	   1
272, 212 s.	 272	NA	NA	   1
39,(4)s	  39	NA	NA	   1
[96] s. (A8-F8)	  96	NA	NA	   1
1035 s.	1035	NA	NA	   1
S. 37-55	  19	NA	NA	   1
57 s., 1 pl.	  59	NA	NA	   1
191, (1) s.	 191	NA	NA	   1
iv,301,(1),251,(1),80,(1)s	 305	NA	NA	   1
viii, 415 s., 100 pl.-bl. i färg	 423	NA	NA	   1
xxiv, 388 s.	 412	NA	NA	   1
(2) s. A4B3.	NA	NA	NA	   1
[06], 64 s.	  70	NA	NA	   1
[2], 130, [2] s.	 134	NA	NA	   1
xvi, 328 s. =(s. 320-28 opag., s. 327-28 annons)=.	 343	NA	NA	   1
A12-C12D6	NA	NA	NA	   1
[4], 165[6] s., 4 pl.bl.	   8	NA	NA	   1
xvj, 480 s., 13 pl.-bl., 1 tab.	 482	NA	NA	   1
(3) 4-112 s.	 112	NA	NA	   1
16 s. =(s. 14-16 opag.).=	NA	NA	NA	   1
142s	 142	NA	NA	   1
[12] , 400 s. =(s. 357-400 opag.).=	  12	NA	NA	   1
34 s.; [2] ins.	  34	NA	NA	   1
[4] s., s. 2-55, [1] s.	  59	NA	NA	   1
45, [2] s.	  47	NA	NA	   1
(4), 132 s.	 132	NA	NA	   1
[2], 56 s.,1 portr.	  60	NA	NA	   1
(4), 951 s., 1 pl.	 953	NA	NA	   1
x och 110 s. 9 pl. och 2 sedelkartor	NA	NA	NA	   1
135 s., 6 pl.-bl.	 135	NA	NA	   1
46 s. =(s. 43-46 opag., s. 42 felpag. '44').=	NA	NA	NA	   1
306, [1] s.	 307	NA	NA	   1
284, 186 s.	 284	NA	NA	   1
66, xlij s.	 108	NA	NA	   1
viij, 138 s.	 146	NA	NA	   1
[32] s. & omsl.	  32	NA	NA	   1
44, [4] s.	  48	NA	NA	   1
310, (1) s.	 310	NA	NA	   1
45 s., 1 portr.	  47	NA	NA	   1
viij s.,s.9-35,2 pl.-bl.	  35	NA	NA	   1
131, (1) s.	 131	NA	NA	   1
307s	 307	NA	NA	   1
186 s	 186	NA	NA	   1
[4], 94 s.	  98	NA	NA	   1
[1] s., s. 633-644	  13	NA	NA	   1
Bd.1: [2], 260 s.; Bd. 2: [2], 201, [3] s.	 464	NA	NA	   1
(8), 410 s., 2 kartor	 414	NA	NA	   1
vii, 262 s.	 269	NA	NA	   1
xvii, (3), 464, (1) s., 1 portr.-bl.	 481	NA	NA	   1
[17] s., s. 2-381	 397	NA	NA	   1
120 s., 6 pl.	 132	NA	NA	   1
s.137-171	  35	NA	NA	   1
(4), 208 s., 1 pl.	 210	NA	NA	   1
72 s. & omsl.	  72	NA	NA	   1
[04] , 160, 56 s. =(s. 160 felpag. '169')=.	 164	NA	NA	   1
[24] s. =(s. 23/24 blank).=	NA	NA	NA	   1
127 s., 8 pl.-bl.	 127	NA	NA	   1
[1], 383, [2] s.	 386	NA	NA	   1
80 s. ,1 pl.	  82	NA	NA	   1
69,[1]s	  70	NA	NA	   1
243 s. med var. pag.	 243	NA	NA	   1
54 s.,1 pl.	  56	NA	NA	   1
71,(1)s	  71	NA	NA	   1
[08], ii256 s. =(s. 7 rättelser)=; [5] pl.	  18	NA	NA	   1
S. 57-191	 135	NA	NA	   1
159 s., 3 färgpl.	 159	NA	NA	   1
64, [2] s.	  66	NA	NA	   1
s. 53-67	  15	NA	NA	   1
[4], 138, [1] s.	 143	NA	NA	   1
40 s. =(s. 38-40 opag.)=.	NA	NA	NA	   1
[4] 390 [1] s.	 395	NA	NA	   1
323, [2] s.	 325	NA	NA	   1
182,(1)s	 182	NA	NA	   1
295,(1)s.,8 pl.-bl.	 295	NA	NA	   1
[4] s. +	   4	NA	NA	   1
39 s., 26 pl.-bl., 1 karta	  41	NA	NA	   1
9,(8)s	   9	NA	NA	   1
xiv, 1189 s.	1203	NA	NA	   1
[8], 76 s.	  84	NA	NA	   1
285, [4] s., 16 pl.-bl.	 289	NA	NA	   1
718 s.	 718	NA	NA	   1
57 s., 2 pl.-bl.	  57	NA	NA	   1
[4], 320 s.	 324	NA	NA	   1
17,(2)s.	  17	NA	NA	   1
[02] , 114 s.	 116	NA	NA	   1
s. 3-389	 387	NA	NA	   1
iii, 42 s.	  45	NA	NA	   1
3 h.	NA	NA	NA	   1
121s	 121	NA	NA	   1
247 s	 247	NA	NA	   1
21 s., 4 pl.-bl.	  21	NA	NA	   1
40 s.; 6 pl.	  52	NA	NA	   1
240 (10) s.	NA	NA	NA	   1
s.289-314,1 portr.	  28	NA	NA	   1
(1),25,32 bl.	  89	NA	NA	   1
394, [1] s.	 395	NA	NA	   1
[24] s., (s. 23/24 blank)	  24	NA	NA	   1
11, 5, 10 s.	  11	NA	NA	   1
142 s., 13 pl. bl., 3 kartor	 148	NA	NA	   1
(4) s., s.21-125, (1) s.	 125	NA	NA	   1
